[945/1024, -159.513707305949]
[947/1024, -309.636648218941]
[949/1024, -171.867623176511]
[951/1024, 376.907020579006]
[953/1024, -86.5460048884177]
[955/1024, 57.4806993174049]
[957/1024, -363.600191642319]
[959/1024, 502.492361949076]
[961/1024, 508.538850698658]
[963/1024, 110.091285703795]
[965/1024, -102.462431045651]
[967/1024, -352.726462131278]
[969/1024, -50.6656602343549]
[971/1024, -165.464429860793]
[973/1024, 223.311054512201]
[975/1024, -262.405304830717]
[977/1024, 35.2326961765357]
[979/1024, 382.006286592334]
[981/1024, 20.0426729360234]
[983/1024, -823.098982412714]
[985/1024, 361.005435707685]
[987/1024, 410.811576947000]
[989/1024, 328.096275375176]
[991/1024, 717.243252720148]
[993/1024, 695.469575877105]
[995/1024, -86.9640016794409]
[997/1024, -253.683014927988]
[999/1024, -683.442721268444]
[1001/1024, 377.483279324141]
[1003/1024, 126.173545048169]
[1005/1024, -217.309876972540]
[1007/1024, -161.223376224652]
[1009/1024, 75.5891923152099]
[1011/1024, -44.4944385988670]
[1013/1024, 304.038387513237]
[1015/1024, -185.815931543323]
[1017/1024, -147.869725279601]
[1019/1024, -447.262932416172]
[1021/1024, -431.185022468161]
[1023/1024, -1848.71520974671]
